time,x,y,z
6.06,-0.436958,0.046659,1030.96
6.07,-0.449468,0.0227893,1032.36
6.08,-0.461516,-0.000979043,1033.75
6.09,-0.473079,-0.0246149,1035.15
6.1,-0.484133,-0.0480881,1036.54
6.11,-0.494654,-0.0713692,1037.93
6.12,-0.504621,-0.0944297,1039.32
6.13,-0.51401,-0.117242,1040.71
6.14,-0.522799,-0.139779,1042.09
6.15,-0.530968,-0.162016,1043.48
6.16,-0.538494,-0.183928,1044.86
6.17,-0.545359,-0.205491,1046.24
6.18,-0.551542,-0.226684,1047.61
6.19,-0.557026,-0.247485,1048.99
6.2,-0.561791,-0.267873,1050.37
6.21,-0.565821,-0.28783,1051.74
6.22,-0.5691,-0.307339,1053.11
6.23,-0.571613,-0.326382,1054.48
6.24,-0.573347,-0.344944,1055.85
6.25,-0.574288,-0.363011,1057.22
6.26,-0.574424,-0.380571,1058.58
6.27,-0.573747,-0.397611,1059.95
6.28,-0.572246,-0.41412,1061.31
6.29,-0.569913,-0.430091,1062.67
6.3,-0.566743,-0.445513,1064.03
6.31,-0.562731,-0.46038,1065.39
6.32,-0.557873,-0.474686,1066.75
6.33,-0.552166,-0.488426,1068.11
6.34,-0.545611,-0.501596,1069.47
6.35,-0.538209,-0.514194,1070.82
6.36,-0.529962,-0.526217,1072.18
6.37,-0.520874,-0.537665,1073.53
6.38,-0.510951,-0.548538,1074.88
6.39,-0.500201,-0.558837,1076.24
6.4,-0.488632,-0.568563,1077.59
6.41,-0.476255,-0.577719,1078.94
6.42,-0.463083,-0.586309,1080.29
6.43,-0.449128,-0.594337,1081.64
6.44,-0.434406,-0.601808,1082.99
6.45,-0.418935,-0.608726,1084.34
6.46,-0.402733,-0.615099,1085.68
6.47,-0.385819,-0.620932,1087.03
6.48,-0.368216,-0.626233,1088.38
6.49,-0.349946,-0.631009,1089.72
6.5,-0.331034,-0.635268,1091.07
6.51,-0.311506,-0.639019,1092.42
6.52,-0.29139,-0.642268,1093.76
6.53,-0.270713,-0.645027,1095.11
6.54,-0.249506,-0.647302,1096.45
6.55,-0.227799,-0.649104,1097.8
